"EDNAME,C,80",2022 Population
Evergreen,1437
Fair Hill A,716
Fair Hill B,753
Fair Hill C,3441
Farranferris A,2074
Farranferris B,895
Farranferris C,855
Gillabbey A,2568
Gillabbey B,1173
Gillabbey C,2116
Glasheen A,795
Glasheen B,843
Glasheen C,2702
Greenmount,2076
Gurranebraher A,726
Gurranebraher B,666
Gurranebraher C,1101
Gurranebraher D,923
Gurranebraher E,1086
Knocknaheeny,4049
Knockrea A,1613
Knockrea B,1187
Mahon A,5415
Mahon B,5148
Mahon C,3329
Mardyke,1051
Mayfield,2846
Montenotte A,1720
Montenotte B,2393
Pouladuff A,757
Pouladuff B,1643
St. Patrick's A,1955
St. Patrick's B,1403
St. Patrick's C,920
Shanakiel,3804
Shandon A,2130
Shandon B,1409
South Gate A,2588
South Gate B,1084
Sundays Well A,761
Sundays Well B,995
The Glen A,2504
The Glen B,3615
The Lough,1641
Tivoli A,1736
Tivoli B,2713
Togher A,2324
Togher B,683
Tramore A,769
Tramore B,1055
Tramore C,2979
Turners Cross A,807
Turners Cross B,1239
Turners Cross C,755
Turners Cross D,495
Clonakilty Urban,4475
Cobh Urban,6979
Fermoy Urban,2580
Kinsale Urban,2631
Macroom Urban,4395
Mallow North Urban,6484
Mallow South Urban,2879
Midleton Urban,3797
Skibbereen Urban,3059
Youghal Urban,7663
Ballinadee,610
Ballygroman,1789
Ballymodan,4660
Ballymurphy,994
Bandon,2267
Baurleigh,401
Bengour,318
Boulteen,695
Brinny,666
Cashel,441
Inishannon,2094
Kilbonane,1344
Kilbrittain,646
Kilbrogan,2902
Knockavilly,477
Knockroe,767
Moviddy,1592
Murragh,541
Rathclarin,717
Teadies,992
Templemartin,836
Ahil,264
Bantry Rural/Whiddy,1166
Bantry Urban,3358
Douce,260
Durrus East,283
Durrus West,690
Glanlough,221
Glengarriff,1181
Kealkill,588
Kilcaskan,895
Mealagh,401
Scart,331
Seefin,351
Sheepshead,198
Adrigole,497
Bear,218
Coulagh,582
Curryglass,427
Kilcatherine,780
Killaconenagh,1613
Kilnamanagh,380
Abbeymahon,743
Ardfield,838
Argideen,382
Butlerstown,458
Cahermore,406
Castleventry,278
Clonakilty Rural,2213
Coolcraheen,703
Courtmacsherry,905
Derry,512
Kilkerranmore,533
Kilmaloda East,378
Kilmaloda West,203
Kilmoylerane,339
Kilnagross,587
Knocks,333
Rathbarry,569
Rosscarbery,1160
Rossmore,370
Templeomalus,786
Timoleague,702
Ballincollig,20497
Ballygarvan,1926
Ballynaglogh,420
Bishopstown,421
Blackpool,1103
Blarney,5894
Caherlag,8080
Carrigaline,13249
Carrignavar,1325
Carrigrohane Beg,1617
Cobh Rural,9050
Douglas,22191
Dripsey,1618
Dunderrow,1734
Firmount,735
Glenville,716
Greenfort,807
Inishkenny,5946
Killeagh,688
Knockantota,1074
Knockraha,1767
Lehenagh,11841
Matehy,3290
Monkstown Rural,1262
Monkstown Urban,5401
Ovens,2836
Rathcooney,9083
Riverstown,4768
St. Mary's,6307
Whitechurch,3238
Aultagh,381
Ballingurteen,736
Ballymoney,885
Bealanageary,190
Bealock,279
Carrigboy,536
Castletown,500
Coolmountain,435
Drinagh,268
Dunmanway North,1264
Dunmanway South,1557
Garrown,311
Kinneigh,442
Manch,598
Milane,185
Teerelton,650
Aghern,239
Ballyhooly,1007
Ballynoe,778
Carrig,159
Castlecooke,222
Castle Hyde,861
Castlelyons,1202
Castletownroche,925
Coole,1210
Curraglass,429
Fermoy Rural,4971
Glanworth East,456
Glanworth West,1156
Gortnaskehy,330
Gortroe,815
Kilcor,408
Kilcummer,283
Kildinan,681
Killathy,422
Kilworth,1808
Knockmourne,1415
Leitrim,381
Rathcormack,2643
Watergrasshill,1930
Allow,523
Ballyhoolahan,295
Banteer,756
Barleyhill,561
Barnacurra,246
Bawncross,358
Boherboy,753
Castlecor,464
Castlemagner,720
Clonfert East,355
Clonfert West,150
Clonmeen,291
Coolclogh,399
Dromina,628
Glenlara,429
Gortmore,220
Greenane,1440
Kanturk,2287
Kilbrin,365
Kilmeen,344
Knockatooan,323
Knocktemple,510
Meens,457
Milford,692
Nad,98
Newmarket,1579
Newtown,983
Roskeen,493
Rosnalee,380
Rowls,162
Tincoora,515
Tullylease,412
Williamstown,504
Ballinspittle,727
Ballyfeard,408
Ballyfoyle,404
Ballymackean,398
Ballymartle,1409
Carrigaline,3212
Coolmain,458
Cullen,584
Farranbrien,532
Kilmonoge,1337
Kilpatrick,557
Kinsale Rural,5605
Kinure,395
Laherne,609
Leighmoney,814
Liscleary,5124
Nohaval,345
Templebreedy,4498
Templemichael,778
Aghinagh,518
Aglish,1525
B⁄al ?tha an Ghaorthaidh (Maigh Chromtha),561
Ceann Droma,333
Cannaway,722
Cleanrath,213
Clondrohid,894
Clonmoyle,608
Doire Fh›n›n,242
Gort na Tiobratan,474
Gowlane,1326
Greenville,309
Inchigeelagh,586
Kilberrihert,806
Kilcullen,888
Kilnamartery,731
Macloneigh,905
Magourney,1148
Mashanaglass,502
Mountrivers,726
Rahalisk,615
An Sliabh Riabhach,978
Na hUlﬂin,644
Warrenscourt,789
Ardskeagh,510
Ballyclogh,794
Ballynamona,1035
Buttevant,1965
Caherduggan,644
Carrig,225
Churchtown,1286
Clenor,373
Doneraile,1555
Dromore,3061
Imphrick,376
Kilmaclenine,709
Kilshannig,1140
Liscarroll,627
Mallow Rural,5045
Milltown,441
Monanimy,856
Rahan,926
Rathluirc,4446
Shanballymore,662
Skahanagh,173
Springfort,636
Streamhill,107
Templemary,344
Wallstown,270
Ballintemple,635
Ballycottin,1975
Ballyspillane,355
Carrigtohill,8181
Castlemartyr,1060
Clonmult,220
Cloyne,4730
Corkbeg,2810
Dangan,266
Dungourney,818
Garryvoe,699
Ightermurragh,3052
Inch,624
Lisgoold,1113
Midleton Rural,10049
Mogeely,781
Rostellan,1379
Templebodan,709
Templenacarriga,619
Caherbarnagh,534
Coomlogane,995
Crinnaloo,205
Cullen,443
Derragh,229
Doonasleen,470
Drishane,2032
Keale,357
Kilcorney,333
Knocknagree,610
Rathcool,563
Skagh,432
Ballyarthur,325
Derryvillane,528
Farahy,498
Kildorrery,807
Kilgullane,159
Kilphelan,557
Marshalstown,412
Mitchelstown,5219
Templemolaga,337
Aghadown North,299
Aghadown South,623
Bredagh,664
Caheragh,298
Cape Clear,308
Carrigbaun,346
Castlehaven North,817
Castlehaven South,550
Cloghdonnell,388
Cloonkeen,386
Drinagh,388
Dromdaleague North,297
Dromdaleague South,636
Garranes,409
Gortnascreeny,542
Kilfaughnabeg,615
Killeenleagh,371
Knockskagh,555
Myross,818
Shreelane,429
Skibbereen Rural,1400
Tullagh,833
Woodfort,393
Ballybane,289
Ballydehob,924
Coolagh,216
Crookhaven,205
Dunbeacon,187
Dunmanus,251
Goleen,224
Kilcoe,447
Lowertown,244
Skull,1120
Toormore,216
Ardagh,750
Clonpriest,1234
Kilcronat,212
Killeagh,1588
Kilmacdonogh,1034
Youghal Rural,1367
Killarney Urban,10487
Listowel Urban,4230
Tralee Urban,6104
Bahaghs,196
Baile an Sceilg,419
Ballybrack,102
Caher,2061
Caherdaniel,316
Canuig/Mﬂistir Gaoithe,225
Castlequin,583
Curraghbeg,187
Darrynane,193
Doire Ianna/Cloon,255
Emlagh,962
Glanbehy,1269
Killinane,298
Lickeen,99
Loughcurrane,343
Maum,265
Portmagee,365
Toghroinn Fh›onﬂin,175
Teeranearagh,297
Valencia,658
Ballinvoher,586
An Baile Dubh,136
Ballynacourty,298
C⁄ Bhr⁄anainn,159
Castlegregory,1041
An Clochﬂn,260
Deelis,376
An Daingean,1671
D∑n Chaoin,209
D∑n Urlann,481
Na Gleannta,1806
Inch,160
Cill Maoilch⁄adair,514
Cill Chuﬂin,422
Cinn Aird,330
Lack,273
Mﬂrthain,256
An Mhin Aird,444
Stradbally,238
Ceann Trﬂ,422
Ardea,193
Banawn,267
Cappagh,404
Castlecove,350
Dawros,611
Dromore,308
Glanlee,193
Glanlough,158
Glanmore,245
Greenane,226
Kenmare,3520
Kilgarvan,788
Loughbrin,136
Reen,172
Sneem,836
Tahilla,239
Aghadoe,870
Aglish,520
Ballyhar,200
Brewsterfield,805
Caragh,999
Churchtown,498
Clydagh,125
Coolies,900
Coom,2109
Curraghmore,382
Currans,270
Doocarrig,694
Dromin,852
Dunloe,862
Flesk,426
Headfort,1047
Kilbonane,632
Kilcummin,2348
Kilfelim,236
Kilgobnet,984
Killarney Rural,7735
Killeentierna,872
Killorglin,4670
Kilnanare,1052
Knocknahoe,307
Lahard,741
Milltown,2439
Molahiffe,1718
Muckross,881
Rathmore,1941
Rockfield,427
Ardagh,685
Astee,496
Ballincloher,461
Ballyconry,444
Ballyduff,846
Ballyegan,92
Ballyhorgan,455
Beal,150
Carrig,374
Causeway,628
Cloontubbrid,289
Drommartin,539
Duagh,521
Ennismore,559
Gullane,278
Gunsborough,369
Kilfeighny,993
Killehenny,2064
Killury,491
Kilmeany,752
Kilshenane,234
Kiltomy,425
Leitrim,560
Lislaughtin,552
Lisselton,348
Listowel Rural,1654
Lixnaw,1134
Moynsha,493
Newtownsandes,1135
Rathea,423
Shronowen,221
Tarbert,757
Tarmon,483
Trienearagh,486
Urlee,376
Abbeydorney,1244
Arabela,1664
Ardfert,1100
Ballyegan,384
Ballyheige,1446
Ballynahaglish,1684
Ballynorig,549
Ballyseedy,1968
Banna,793
Baurtregaum,360
Blennerville,719
Boolteens,504
Brosna,734
Carker,444
Castleisland,3392
Clogherbrien,1535
Cordal,279
Crinny,310
Derreen,204
Doon,677
Gneeves,375
Kerryhead,624
Kilflyn,264
Kilgarrylander,694
Kilgobban,297
Killahan,395
Kilmurry,304
Kiltallagh,558
Knockglass,397
Knocknagashel,733
Lackabaun,435
Millbrook,487
Mount Eagle,174
Nohaval,391
O'Brennan,538
Ratass,1080
Scartaglin,694
Tralee Rural,19032
Tubrid,870
Abbey A,4626
Abbey B,2807
Abbey C,670
Abbey D,1477
Ballinacurra A,2366
Ballinacurra B,1353
Ballynanty,3030
Castle A,1125
Castle B,549
Castle C,1429
Castle D,2063
Coolraine,1680
Custom House,893
Dock A,3080
Dock B,1255
Dock C,1121
Dock D,802
Farranshone,1028
Galvone A,1432
Galvone B,739
Glentworth A,641
Glentworth B,1218
Glentworth C,555
John's A,747
John's B,1038
John's C,503
Killeely A,1455
Killeely B,890
Market,2253
Prospect A,1061
Prospect B,647
Rathbane,1848
St. Laurence,988
Shannon A,1299
Shannon B,1242
Singland A,1651
Singland B,3777
Limerick North Rural,7364
Abbeyville,411
Adare North,617
Adare South,2225
Ballingarry,970
Ballyagran,506
Ballygrennan,296
Ballynabanoge,330
Ballynoe,496
Castletown,396
Coolrus,469
Crean,463
Crecora,461
Croom,1931
Dunnaman,698
Fedamore,1340
Garrane,317
Grange,553
Kilfinny,314
Kilpeacon,561
Rathmore,307
Fleanmore,230
Glin,1207
Kilfergus,442
Kilmoylan,398
Ardpatrick,370
Athlacca,402
Ballymacshaneboy,473
Bruff,1460
Bruree,1294
Bulgaden,332
Cahercorney,761
Colmanswell,535
Darragh,375
Dromin,577
Emlygrennan,850
Glenbrohane,474
Griston,309
Hospital,1296
Kilfinnane,1147
Kilflyn,231
Kilmallock,2389
Kilteely,611
Knockainy,784
Knocklong,918
Particles,222
Rockhill,337
Tobernea,694
Uregare,654
Abington,1367
Ballybricken,1932
Ballycummin,19394
Ballysimon,16540
Ballyvarra,4513
Caherconlish East,576
Caherconlish West,2318
Caherelly,388
Cappamore,1424
Carrig,658
Castleconnell,3607
Clarina,1993
Clonkeen,1055
Doon West,266
Glenstal,1240
Kilmurry,911
Limerick South Rural,2215
Patrickswell,1490
Roxborough,1580
Anglesborough,341
Ballylanders,659
Cullane,408
Duntryleague,326
Galbally,588
Kilbeheny,270
Kilglass,315
Knocknascrow,241
Riversdale,272
Abbeyfeale,2629
Ardagh,1037
Ballintober,386
Ballynoe West,336
Boola,142
Broadford,993
Caher,400
Cleanglass,264
Cloncagh,353
Danganbeg,433
Dromcolliher,928
Dromtrasna,930
Feenagh,340
Garryduff,263
Glenagower,540
Glengort,719
Glensharrold,446
Kilmeedy,368
Knockaderry,541
Mahoonagh,550
Monagay,1260
Mountcollins,492
Mountplummer,383
Newcastle Rural,2491
Newcastle Urban,5602
Port,498
Rathronan,937
Rooskagh,289
Templeglentan,1038
Askeaton East,626
Askeaton West,1232
Aughinish,252
Ballyallinan,421
Ballynacarriga,947
Castletown,460
Craggs,258
Croagh,833
Dromard,916
Dunmoylan East,523
Dunmoylan West,71
Iveruss,350
Kilcornan,839
Kildimo,688
Kilscannell,612
Lismakeery,479
Loghill,664
Mohernagh,125
Nantinan,714
Pallaskenry,1104
Rathkeale Rural,315
Rathkeale Urban,1408
Riddlestown,601
Shanagolden,922
Shanid,542
Bilboa,417
Doon South,1352
Grean,1548
Oola,1119
Templebredon,588
Nenagh East Urban,3538
Nenagh West Urban,5969
Templemore,2005
Thurles Urban,7122
Aglishcloghane,267
Ballingarry,579
Ballylusky,365
Borrisokane,1471
Carrig,186
Cloghjordan,1195
Cloghprior,326
Clohaskin,249
Finnoe,209
Graigue,303
Kilbarron,646
Lorrha East,301
Lorrha West,321
Mertonhall,194
Rathcabban,311
Redwood,126
Riverstown,609
Terryglass,575
Uskane,252
Abington,640
Aghnameadle,350
Ardcrony,636
Ballina,3414
Ballygibbon,673
Ballymackey,582
Ballynaclogh,745
Birdhill,743
Burgesbeg,484
Carrigatogher,748
Castletown,1497
Derrycastle,490
Dolla,212
Greenhall/Lackagh,427
Kilcomenty,743
Kilkeary,663
Killoscully,510
Kilmore,705
Kilnaneave,474
Kilnarath,376
Knigh,797
Latteragh,690
Monsea,694
Nenagh Rural,1980
Newport,3167
Templederry,115
Youghalarra,1001
Borrisnafarney,310
Borrisnoe,133
Bourney East,317
Bourney West,411
Killavinoge,480
Killea,371
Rathnaveoge,269
Roscrea,6606
Timoney,401
Ballycahill,424
Ballymurreen,241
Borrisoleigh,1257
Drom,1212
Foilnaman,371
Glenkeen,479
Gortkelly,594
Holycross,1437
Inch,407
Kilrush,556
Littleton,1057
Longfordpass,326
Loughmoe,662
Moyaliff,408
Moycarky,541
Moyne,534
Rahelty,779
Templetouhy,823
Thurles Rural,2365
Twomileborris,828
Upperchurch,311
Carrickbeg Urban,1484
Carrick-on-Suir Urban,4519
Cashel Urban,2652
Clonmel East Urban,4155
Clonmel West Urban,5814
Tipperary East Urban,2513
Tipperary West Urban,2047
Carrick-on-Suir Rural,515
Garrangibbon,663
Kilmurry,360
Newtown,410
Ardmayle,665
Ardsallagh,470
Ballysheehan,540
Cashel Rural,3083
Clogher,242
Cloneen,497
Clonoulty East,528
Clonoulty West,709
Colman,457
Cooleagh,582
Drangan,692
Fethard,997
Gaile,768
Graigue,155
Greystown,438
Killeenasteena,677
Killenaule,1223
Kilpatrick,1018
Knockgraffon,778
Magorban,717
Nodstown,622
Oughterleague,575
Peppardstown,1444
Tullamain,706
Ardfinnan,1178
Ballybacon,500
Ballyporeen,964
Burncourt,472
Caher,1230
Clogheen,1011
Coolagarranroe,622
Derrygrath,709
Kilcommon,2308
Kilcoran,573
Mortlestown,1689
Newcastle,726
Tubbrid,653
Tullaghmelan,1116
Tullaghorton,297
Ballyclerahan,1049
Clonmel Rural,5750
Inishlounaght,3489
Kilcash,791
Kilsheelan/Killaloan,1457
Kiltinan,299
Lisronagh,881
Anner,402
Ballingarry,767
Ballyphilip,410
Buolick,697
Crohane,282
Farranrory,453
Fennor,563
Kilcooly,314
Kilvemnon,444
Modeshil,382
Mullinahone,886
New Birmingham,452
Poyntstown,162
Ballycarron,346
Ballygriffin,263
Ballykisteen,892
Bansha,868
Bruis,333
Cappagh,1006
Clonbeg,777
Cullen,284
Curraheen,291
Donohill,656
Drumwood,626
Emly,682
Glengar,250
Golden,881
Kilfeakle,500
Killadriffe,561
Kilmucklin,576
Lattin,529
Rathlynin,384
Rodus,276
Shronell,390
Solloghodbeg,241
Templeneiry,461
Thomastown,385
Tipperary Rural,2159
Ballybeg North,2841
Ballybeg South/Ballynaneashagh,311
Ballybricken West,171
Ballymaclode,1298
Ballynakill,2269
Ballytruckle,6563
Bilberry,970
Centre A,889
Centre B,293
Cleaboy,2610
Custom House A,367
Custom House B,335
Farranshoneen,6004
Ferrybank,862
Gracedieu,2074
Grange North,898
Grange South,3211
Grange Upper,2510
Kilbarry,2758
Kingsmeadow,1305
Larchville,1008
Lisduggan,996
Military Road,844
Morrisson's Avenue East,667
Morrisson's Avenue West,291
Morrisson's Road,518
Mount Sion,1169
Newport's Square,565
Newtown,1048
Park,1589
Poleberry,1611
Roanmore,790
Shortcourse,356
Slievekeale,699
The Glen,1068
Ticor North,2109
Ticor South,446
Dungarvan No. 1 Urban,5102
Dungarvan No. 2 Urban,3834
Ballydurn,207
Carrickbeg Rural,463
Clonea,420
Fenoagh,236
Glen,461
Kilmeadan,845
Mothel,461
Portlaw,1653
Rathgormuck,239
Ross,308
Ballymacarbry,575
Graignagower,550
Gurteen,383
Kilmacomma,464
Kilronan,233
St. Mary's,733
Ardmore,246
Baile Mhac Airt,404
Bohadoon,326
Cappagh,408
Carriglea,559
Clonea,2505
Colligan,722
Coumaraglin,268
Dromana,832
Dromore,257
Dungarvan Rural,2096
Keereen,240
Knockaunbrandaun,209
Modelligo,338
Mountstuart,90
Ringville,1548
Seskinan,464
Whitechurch,223
Annestown,917
Ballylaneen,266
Carrigcastle,273
Comeragh,532
Dunhill,276
Fews,373
Fox's Castle,505
Gardenmorris,435
Georgestown,234
Kilbarrymeaden,471
Kilmacthomas,1423
Knockmahon,419
Mountkennedy,455
Newtown,502
Stradbally,900
Tinnasaggart,93
Ballyduff,341
Ballyhane,495
Ballyin,542
Ballynamult,207
Ballysaggartmore,363
Cappoquin,1297
Castlerichard,494
Drumroe,256
Gortnapeaky,221
Kilcockan,240
Kilwatermoy East,130
Kilwatermoy West,241
Lismore Rural,1256
Lismore Urban,777
Mocollop,237
Modelligo,335
Tallow,1322
Ballynakill,432
Drumcannon,419
Faithlegg,2115
Islandikane,2707
Kilbarry,245
Killea,1656
Killoteran,587
Kilmacleague,402
Kilmeadan,778
Newcastle,555
Pembrokestown,523
Rathmoylan,1228
Reisk,1304
Tramore,9949
Woodstown,635
Ardmore,810
Ballyheeny,603
Clashmore,466
Glenwilliam,197
Grallagh,241
Grange,387
Kinsalebeg,616
Templemichael,465
Ballybaan,13453
Ballybrit,943
Barna,16551
Castlegar,4315
Claddagh,2755
Dangan,4621
Eyre Square,4456
Knocknacarragh,1481
Lough Atalia,891
Menlough,5407
Mervue,2278
Murroogh,2909
Newcastle,2017
Nuns Island,1716
Rahoon,3486
Renmore,1454
Rockbarton,1837
St. Nicholas,3232
Salthill,3608
Shantalla,2015
Taylors Hill,3141
Wellpark,1848
Ballinasloe Urban,7361
Abbeygormacan,464
Ahascragh,619
Aughrim,576
Ballinasloe Rural,555
Ballymacward,316
Clonfert,454
Clontuskert,218
Kellysgrove,386
Kilconnell,658
Killaan,572
Killallaghtan,512
Killoran,288
Killure,739
Kilmacshane,234
Kiltormer,538
Kylemore,146
Laurencetown,397
Lismanny,264
Oatfield,446
Ballynakill,516
Bencorr,219
Bunowen,406
Cleggan,304
Clifden,2059
Cushkillary,272
Derrycunlagh/Derrylea,318
Doonloughan,97
Errislannan,234
An Uillinn,105
Inishbofin,184
An Cnoc Bu›,875
Moyrus,334
Abhainn Ghabhla,299
Rinvyle,1253
Roundstone,445
Sillerna,466
Scainimh,606
Eanach Dh∑in,1978
Aughrim,1317
Ballintemple,1609
Ballynacourty,1233
Barna,3866
Belleville,670
An Carn Mær,2791
Ceathr∑ an Bhr∑naigh,1040
Baile Chlﬂir,2388
Clarinbridge,4143
Deerpark,1440
Na Forbacha,1634
Galway Rural,211
?rainn,1347
Kilcummin,1403
Cill Aithn›n,1108
Lackaghbeg,1614
Liscananaun,1601
Lisheenavalla,1085
Maigh Cuilinn,2459
Oranmore,4721
Sailearna,1503
Sliabh an Aonaigh,797
An Spid⁄al,1842
Stradbally,1186
Tullokyne,2303
Ballinastack,340
Ballymoe,398
Ballynakill,434
Boyounagh,245
Creggs,351
Curraghmore,198
Glennamaddy,925
Island,252
Kilcroan,596
Kiltullagh,211
Raheen,525
Scregg,247
Shankill,355
Templetogher,419
Toberroe,315
Ardamullivan,722
Ardrahan,612
Ballycahalan,213
Beagh,789
Cahermore,620
Cappard,121
Castletaylor,693
Doorus,882
Drumacoo,1561
Gort,3186
Kilbeacanty,357
Killeely,1929
Killeenavarra,903
Killinny,492
Kiltartan,859
Kilthomas,101
Kinvarra,1558
Rahasane,363
Skehanagh,536
Aille,429
Athenry,5765
Ballynagar,217
Bracklagh,495
Bullaun,340
Cappalusk,416
Castleboy,571
Cloonkeen,485
Colmanstown,136
Craughwell,2092
Derrylaur,99
Drumkeary,625
Graigabbey,421
Grange,805
Greethill,1086
Kilchreest,307
Kilconickny,678
Kilconierin,741
Killimor,373
Killogilleen,981
Kilmeen,672
Kilreekill,373
Kilteskill,393
Kiltullagh,827
Lackalea,425
Leitrim,553
Loughrea Rural,898
Loughrea Urban,6322
Marblehill/Loughatorick,398
Mountain,299
Movode,297
Raford,645
Tiaquin,792
Woodford,468
Annagh,383
Ballynakill,647
Caltra,380
Castleblakeney,551
Castleffrench,522
Clonbrock,606
Cloonkeen,353
Cooloo,580
Derryglassaun,976
Killeroran,1301
Killian,364
Mount Bellew,1972
Mounthazel,544
Taghboy,229
Camas,332
An Fhairche,1267
Conga,528
An Crompﬂn,2665
An Chorr,154
Garmna,1324
Cill Chuim›n,170
Letterbrickaun,262
Letterfore,283
Leitir Mæir,883
Oughterard,2819
An Ros,89
An Turlach,555
Wormhole,2602
Abbeyville,274
Ballyglass,179
Coos,111
Derrew,186
Drummin,390
Eyrecourt,468
Killimor,715
Kilmalinoge,221
Kilquain,303
Meelick,296
Moat,153
Pallas,406
Portumna,2504
Tiranascragh,184
Tynagh,472
Abbey East,655
Abbey West,884
Addergoole,587
Annaghdown,1451
Ballinderry,597
Ballinduff,725
Ballynapark,1101
Beaghmore,394
Belclare,792
Carrownagur,405
Carrowrevagh,485
Claretuam,1132
Clonbern,388
Cloonkeen,493
Cummer,1160
Donaghpatrick,584
Doonbally,626
Dunmore North,604
Dunmore South,891
Foxhall,675
Headford,1864
Hillsbrook,693
Kilbennan,349
Kilcoona,662
Killeany,617
Killeen,734
Killererin,770
Killower,925
Killursa,1135
Kilmoylan,1171
Kilshanvy,420
Levally,437
Milltown,704
Monivea,794
Moyne,703
Ryehill,878
Toberadosh,399
Tuam Rural,6556
Tuam Urban,3924
Ballinamore,1317
Cloverhill,321
Corrala,247
Drumreilly North,178
Drumreilly South,153
Garadice,586
Greaghglass/Stralongford,372
Killygar,128
Newtowngore,299
Oughteragh,98
Aghacashel,82
Annaduff,249
Barnameenagh,152
Carrick-on-Shannon,4445
Drumreilly West/Drumreilly East,167
Drumshanbo,1632
Drumsna,740
Gortnagullion,308
Gowel,360
Keshcarrigan,618
Kiltubbrid,182
Leitrim,1380
Moher,217
Yugan,238
Aghalateeve/Aghanlish,232
Aghavoghill/Melvin,233
Gubacreeny,803
Kinlough,1036
Tullaghan,755
Ballaghameehan,196
Belhavel,297
Cloonclare,153
Cloonlogher,310
Drumahaire,1714
Drumkeeran,287
Garvagh/Arigna,233
Glenade,156
Glenaniff,181
Glenboy,237
Glencar,283
Glenfarn,161
Killanummery,366
Killarga,221
Kiltyclogher,255
Lurganboy,444
Mahanagh,346
Manorhamilton,2064
Munakill,186
Sramore,406
St. Patrick's,131
Aghavas,321
Beihy,336
Breandrum,274
Bunnybeg,154
Carrigallen East,302
Carrigallen West,629
Cashel,184
Castlefore,237
Cattan,269
Cloone,386
Corriga,167
Drumard,223
Drumdoo,356
Drumod,1010
Fenagh,369
Gortermone,289
Keeldra,199
Lisgillock,206
Mohill,1317
Rinn,466
Riverstown,243
Roosky,832
Rowan,275
Ardnaree South Urban,2416
Ballina Urban,4246
Castlebar Urban,6635
Westport Urban,6252
Ardagh,365
Ardnaree North,954
Ardnaree South Rural,3096
Attymass East,378
Attymass West,273
Ballina Rural,3199
Ballycastle,585
Ballysakeery,620
B⁄al Deirg Mær,150
Bunaveela,78
Carrowmore,896
Crossmolina North,1105
Crossmolina South,870
Deel,491
Derry,202
Fortland,556
Kilfian East,242
Kilfian South,250
Kilfian West,109
Kilgarvan,857
Killala,1325
Lackan North,306
Lackan South,460
Letterbrick,114
Mount Falcon,1300
Rathoma,248
Sallymount,509
Sraheen,1179
Baile an Chalaidh,235
Ballinrobe,4118
Ballyovey,238
Burriscarra,453
An Cheapaigh Dhuibh,366
Cong,994
Coonard,306
Dalgan,1169
Hollymount,867
Houndswood,659
Kilcommon,676
Kilmaine,1014
Neale,879
Newbrook,554
Abhainn Bhrain,213
Portroyal,603
Roslee,443
Shrule,1211
An Geata Mær Thuaidh,1014
An Geata Mær Theas,881
Bangor,508
Barr R∑sca›,99
B⁄al an Mhuirthead,2143
Gleann na Muaidhe,209
Gleann Chaisil,499
Glenco/Sheskin,80
Goolamore,130
Cnoc an Daimh,314
Cnoc na Lobhar,768
Moing na Bæ,249
Na Monga,223
Cnoc na Rﬂithe,695
Addergoole,900
Balla,1661
Ballinafad,621
Ballyhean,640
Ballynagoraher,347
Bellavary,1084
Breaghwy,1964
Burren,366
Castlebar Rural,7935
Clogher,618
Cloonkeen,779
Croaghmoyle,180
Killavally,518
Manulla,991
Pontoon,512
Strade,647
Tawnynagry,378
Turlough,1560
Ballindine,917
Ballyhaunis,3531
Ballyhowly,479
Bekan,776
Caraun,349
Claremorris,4740
Cloghermore,165
Course,455
Crossboyne,600
Culnacleha,483
Garrymore,473
Kilcolman,455
Kilvine,667
Knock North,1004
Knock South,799
Loughanboy,323
Mayo,437
Murneen,372
Tagheen,187
Aghamore,650
Ballinamore,342
Bohola,325
Brackloon,655
Callow,442
Cloonmore,434
Coolnaha,511
Cuildoo,357
Doocastle,383
Kilbeagh,1068
Kilkelly,961
Killedan,687
Kilmovee,660
Kiltamagh,1626
Meelick,541
Sonnagh,1242
Swineford,2629
Toocananagh,464
Toomore,1724
Tumgesh,350
Urlaur,513
Acaill,798
Aghagower North,1070
Aghagower South,110
Aillemore,367
Ballycroy North,285
Ballycroy South,332
Clare Island,194
Clogher,948
An Corrﬂn,712
Croaghpatrick,699
Derryloughan,771
Dumha ?ige,592
Drummin,182
Emlagh,331
Erriff,112
Glenhest,257
Islandeady,1079
Kilgeever,102
Kilmaclasser,686
Kilmeena,1616
Kilsallagh,575
Knappagh,817
Louisburgh,1117
Newport East,1318
Newport West,799
Owennadornaun/Bundorragha,159
Slievemahanagh,525
Slievemore,968
Srahmore,157
Westport Rural,1739
Athlone West Rural,5282
Ballydangan,784
Ballynamona,547
Caltragh,279
Carnagh,841
Carrowreagh,554
Castlesampson,408
Cloonburren,231
Cloonown,271
Crannagh,1226
Creagh,1005
Culliagh,208
Drumlosh,358
Dysart,229
Kilcar,384
Kiltoom,1716
Lecarrow,333
Moore,330
Rockhill,436
Taghboy,535
Taghmaconnell,315
Thomastown,777
Turrock,322
Aghafin,142
Aughrim East,242
Aughrim West,180
Ballyfarnan,271
Ballyfermoyle,173
Boyle Rural,1775
Boyle Urban,1597
Breedoge,249
Cloonteen,312
Creeve,137
Croghan,416
Crossna,209
Danesfort,963
Estersnow,99
Keadew,544
Kilbryan,400
Kilcolagh,134
Killukin,282
Killummod,129
Kilmacumsy,339
Kilmore,184
Lisgarve/Mantua,212
Lough Allen/Altagowlan,300
Oakport,523
Rockingham,339
Rushfield,402
Tivannagh,267
Tumna North,175
Tumna South,207
Artagh North,864
Artagh South,463
Ballaghaderreen,3254
Ballinlough,1138
