"EDNAME,C,80",2022 Population
Kilsallaghan,2406
Kinsaley,11470
Lucan North,1765
Lusk,10774
Malahide East,8406
Malahide West,6014
Portmarnock North,4048
Portmarnock South,4729
Rush,11116
Skerries,8880
Sutton,5789
Swords-Forrest,15926
Swords-Glasmore,7674
Swords-Lissenhall,12065
Swords-Seatown,7465
Swords Village,2786
The Ward,13289
Turnapin,1730
Ballinteer-Broadford,2480
Ballinteer-Ludford,2110
Ballinteer-Marley,2222
Ballinteer-Meadowbroads,1696
Ballinteer-Meadowmount,1828
Ballinteer-Woodpark,5323
Ballybrack,2872
Blackrock-Booterstown,3629
Blackrock-Carysfort,6232
Blackrock-Central,3774
Blackrock-Glenomena,2000
Blackrock-Monkstown,3422
Blackrock-Newpark,2278
Blackrock-Seapoint,1519
Blackrock-Stradbrook,2612
Blackrock-Templehill,2810
Blackrock-Williamstown,2876
Cabinteely-Granitefield,2713
Cabinteely-Kilbogget,2683
Cabinteely-Loughlinstown,5362
Cabinteely-Pottery,5106
Churchtown-Castle,1911
Churchtown-Landscape,1446
Churchtown-Nutgrove,3190
Churchtown-Orwell,1968
Churchtown-Woodlawn,1529
Clonskeagh-Belfield,3754
Clonskeagh-Farranboley,1751
Clonskeagh-Milltown,2252
Clonskeagh-Roebuck,3365
Clonskeagh-Windy Arbour,3020
Dalkey-Avondale,1439
Dalkey-Bullock,1802
Dalkey-Coliemore,1354
Dalkey Hill,1536
Dalkey Upper,2144
Dundrum-Balally,8844
Dundrum-Kilmacud,3495
Dundrum-Sandyford,7638
Dundrum-Sweetmount,2689
Dundrum-Taney,2748
D∑n Laoghaire-East Central,2604
D∑n Laoghaire-Glasthule,2982
D∑n Laoghaire-Glenageary,4516
D∑n Laoghaire-Monkstown Farm,2321
D∑n Laoghaire-Mount Town,1915
D∑n Laoghaire-Sallynoggin East,2941
D∑n Laoghaire-Sallynoggin South,1434
D∑n Laoghaire-Sallynoggin West,4354
D∑n Laoghaire-Sandycove,3688
D∑n Laoghaire-Salthill,1758
D∑n Laoghaire-West Central,2726
Foxrock-Beechpark,1758
Foxrock-Carrickmines,6324
Foxrock-Deans Grange,2523
Foxrock-Torquay,1558
Glencullen,23596
Killiney North,3390
Killiney South,6386
Shankill-Rathmichael,5731
Shankill-Rathsallagh,3254
Shankill-Shanganagh,5522
